galaxy,source,preferred_profile,radius_type,rin_arcmin,rout_arcmin,rm_arcmin,R_inner_pc,R_outer_pc,R_pc,Sigma_table3_arcmin2,Sigma_table3_err_arcmin2,Sigma_background_arcmin2,Sigma_background_err_arcmin2,Sigma,Sigma_err,Sigma_pc2,Sigma_err_pc2,light_raw,light_raw_err,light_frac,light_frac_err_approx,ellipticity,q_axis_ratio,area_arcmin2,area_pc2,Sigma_units,R_units,area_model,pc_per_arcmin_assumed,note
Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,0.0,1.0,0.71,0.0,22.1,15.691,7.181,1.795,0.076,0.0014,7.105,1.7950005459609197,0.014547204193198335,0.0036751920434899355,15.40150090459128,3.8910207645825396,0.01231367016694945,0.0031109140988679735,0.31,0.69,2.167698930976957,1058.7258348784558,stars_per_arcmin2,pc,elliptical_annulus_pi_q_delta_a2,22.1,Production Draco light profile: Odenkirchen et al. 2001 Table 3 S2 with fitted S2 background 0.0760 +/- 0.0014 stars arcmin^-2 subtracted before normalization. Sigma_err combines the Table 3 statistical uncertainty and fitted-background uncertainty in quadrature.
Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,1.0,2.0,1.58,22.1,44.2,34.918000000000006,5.087,0.872,0.076,0.0014,5.011,0.8720011238524867,0.010259822689953112,0.0017853875306658065,32.587018029376594,5.670707711957221,0.02605368101615075,0.004533793479660277,0.31,0.69,6.5030967929308705,3176.177504635367,stars_per_arcmin2,pc,elliptical_annulus_pi_q_delta_a2,22.1,Production Draco light profile: Odenkirchen et al. 2001 Table 3 S2 with fitted S2 background 0.0760 +/- 0.0014 stars arcmin^-2 subtracted before normalization. Sigma_err combines the Table 3 statistical uncertainty and fitted-background uncertainty in quadrature.
Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,2.0,3.0,2.55,44.2,66.30000000000001,56.355,4.937,0.666,0.076,0.0014,4.861000000000001,0.666001471469846,0.009952703671096005,0.001363611456501394,52.68592251739495,7.218453388671328,0.04212297725653855,0.0057712332515008295,0.31,0.69,10.838494654884785,5293.629174392279,stars_per_arcmin2,pc,elliptical_annulus_pi_q_delta_a2,22.1,Production Draco light profile: Odenkirchen et al. 2001 Table 3 S2 with fitted S2 background 0.0760 +/- 0.0014 stars arcmin^-2 subtracted before normalization. Sigma_err combines the Table 3 statistical uncertainty and fitted-background uncertainty in quadrature.
Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,3.0,4.0,3.54,66.30000000000001,88.4,78.23400000000001,4.937,0.563,0.076,0.0014,4.861000000000001,0.5630017406722646,0.009952703671096005,0.0011527236147340647,73.76029152435292,8.542927899754037,0.05897216815915397,0.0068301652591691376,0.31,0.69,15.173892516838698,7411.08084414919,stars_per_arcmin2,pc,elliptical_annulus_pi_q_delta_a2,22.1,Production Draco light profile: Odenkirchen et al. 2001 Table 3 S2 with fitted S2 background 0.0760 +/- 0.0014 stars arcmin^-2 subtracted before normalization. Sigma_err combines the Table 3 statistical uncertainty and fitted-background uncertainty in quadrature.
Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,4.0,5.0,4.53,88.4,110.5,100.11300000000001,4.388,0.468,0.076,0.0014,4.312,0.46800209401240933,0.008828648062078991,0.0009582156262410869,84.12406011335375,9.130388749971093,0.0672581156705101,0.0072998467006325524,0.31,0.69,19.509290378792613,9528.532513906102,stars_per_arcmin2,pc,elliptical_annulus_pi_q_delta_a2,22.1,Production Draco light profile: Odenkirchen et al. 2001 Table 3 S2 with fitted S2 background 0.0760 +/- 0.0014 stars arcmin^-2 subtracted before normalization. Sigma_err combines the Table 3 statistical uncertainty and fitted-background uncertainty in quadrature.
Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,5.0,6.0,5.52,110.5,132.60000000000002,121.992,3.142,0.358,0.076,0.0014,3.066,0.35800273741970184,0.006277512745439281,0.0007329963297633172,73.10781414612885,8.536463663106632,0.05845050528508615,0.006824997030536724,0.31,0.69,23.844688240746528,11645.984183663013,stars_per_arcmin2,pc,elliptical_annulus_pi_q_delta_a2,22.1,Production Draco light profile: Odenkirchen et al. 2001 Table 3 S2 with fitted S2 background 0.0760 +/- 0.0014 stars arcmin^-2 subtracted before normalization. Sigma_err combines the Table 3 statistical uncertainty and fitted-background uncertainty in quadrature.
Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,6.0,7.0,6.52,132.60000000000002,154.70000000000002,144.092,3.452,0.345,0.076,0.0014,3.376,0.34500284056801617,0.006912225384410637,0.0007063795593210952,95.13597068271667,9.722209752882927,0.07606225985743524,0.007773014132357152,0.31,0.69,28.18008610270044,13763.435853419924,stars_per_arcmin2,pc,elliptical_annulus_pi_q_delta_a2,22.1,Production Draco light profile: Odenkirchen et al. 2001 Table 3 S2 with fitted S2 background 0.0760 +/- 0.0014 stars arcmin^-2 subtracted before normalization. Sigma_err combines the Table 3 statistical uncertainty and fitted-background uncertainty in quadrature.
Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,7.0,8.0,7.52,154.70000000000002,176.8,166.192,2.723,0.285,0.076,0.0014,2.647,0.28500343857574767,0.005419626952765094,0.0005835331761752373,86.06848605444007,9.267024736881076,0.06881270569721715,0.007409088682058116,0.31,0.69,32.51548396465436,15880.887523176838,stars_per_arcmin2,pc,elliptical_annulus_pi_q_delta_a2,22.1,Production Draco light profile: Odenkirchen et al. 2001 Table 3 S2 with fitted S2 background 0.0760 +/- 0.0014 stars arcmin^-2 subtracted before normalization. Sigma_err combines the Table 3 statistical uncertainty and fitted-background uncertainty in quadrature.
Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,8.0,10.0,9.06,176.8,221.0,200.22600000000003,2.132,0.163,0.076,0.0014,2.056,0.1630060121590612,0.004209578018468089,0.0003337483101473376,160.44440407519045,12.720526498800497,0.1282770740431992,0.01017020150350901,0.31,0.69,78.03716151517045,38114.13005562441,stars_per_arcmin2,pc,elliptical_annulus_pi_q_delta_a2,22.1,Production Draco light profile: Odenkirchen et al. 2001 Table 3 S2 with fitted S2 background 0.0760 +/- 0.0014 stars arcmin^-2 subtracted before normalization. Sigma_err combines the Table 3 statistical uncertainty and fitted-background uncertainty in quadrature.
Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,10.0,12.0,11.05,221.0,265.20000000000005,244.20500000000004,1.642,0.129,0.076,0.0014,1.5659999999999998,0.12900759667554465,0.003206322556868204,0.0002641379101073783,149.36312714003623,12.304583693665322,0.11941747068029342,0.009837650634442512,0.31,0.69,95.37875296298611,46583.93673465205,stars_per_arcmin2,pc,elliptical_annulus_pi_q_delta_a2,22.1,Production Draco light profile: Odenkirchen et al. 2001 Table 3 S2 with fitted S2 background 0.0760 +/- 0.0014 stars arcmin^-2 subtracted before normalization. Sigma_err combines the Table 3 statistical uncertainty and fitted-background uncertainty in quadrature.
