bin_id,R_inner_pc,R_outer_pc,R_pc,Sigma,Sigma_err,light_raw,light_frac,q_axis_ratio,ellipticity,area_pc2,source_surface_brightness_csv,source_target_bins_csv,rebin_method,galaxy,source,preferred_profile,radius_type,pc_per_arcmin_assumed,note,N_vlos
0,1.0497301892669824,36.15042838896009,18.60007928911353,6.673454027835652,1.6553484587376195,18889.05290249888,0.026634192977848862,0.69,0.31000000000000005,2830.4762157213836,Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_profile.csv,Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,loglog,Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.,20
1,36.15042838896009,45.77780736724708,40.96411787810358,5.036456915980278,0.8138995063260094,8611.2412693844,0.012142136661455302,0.69,0.31000000000000005,1709.7815811868886,Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_profile.csv,Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,loglog,Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.,20
2,45.77780736724708,61.06514869428071,53.42147803076389,4.953530286855437,0.6941898365285553,17538.467559449768,0.024729822713998026,0.69,0.31000000000000005,3540.599641833099,Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_profile.csv,Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,loglog,Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.,20
3,61.06514869428071,72.46562534753159,66.76538702090615,4.937,0.6169909107750202,16291.702341760987,0.022971842280706964,0.69,0.31000000000000005,3299.9194534658673,Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_profile.csv,Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,loglog,Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.,20
4,72.46562534753159,85.54353025903688,79.00457780328423,4.913921460726134,0.5596541025041363,22011.396746412654,0.03103680166930932,0.69,0.31000000000000005,4479.395310310884,Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_profile.csv,Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,loglog,Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.,20
5,85.54353025903688,96.91700521985904,91.23026773944795,4.587294055373757,0.506569384558364,20635.62678198469,0.029096920251493227,0.69,0.31000000000000005,4498.431217377751,Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_profile.csv,Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,loglog,Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.,20
6,96.91700521985904,105.93793327927874,101.42746924956889,4.29233173308924,0.461391305934797,17026.643656322398,0.02400813398365587,0.69,0.31000000000000005,3966.7585627330177,Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_profile.csv,Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,loglog,Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.,20
7,105.93793327927874,117.7471685569986,111.84255091813868,3.6387779119622223,0.40902789885299806,20835.951990491725,0.029379385459740823,0.69,0.31000000000000005,5726.085101812623,Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_profile.csv,Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,loglog,Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.,20
8,117.7471685569986,125.06729427756912,121.40723141728384,3.1676165767628826,0.3609400129849983,12204.631234413802,0.017208936054059966,0.69,0.31000000000000005,3852.938301922329,Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_profile.csv,Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,loglog,Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.,20
9,125.06729427756912,141.37319996816893,133.220247122869,3.3023005242996817,0.3513951487512535,31100.023247252753,0.043852067388372586,0.69,0.31000000000000005,9417.684132139406,Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_profile.csv,Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,loglog,Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.,20
