bin_id,galaxy,source,preferred_profile,radius_type,digitized_center_deg,digitized_center_offset_deg,count_digitized,count,count_err,rin_deg,rout_deg,rmid_deg,rin_arcmin,rout_arcmin,rm_arcmin,rin_pc,rout_pc,rm_pc,Sigma,Sigma_err,Sigma_pc2,Sigma_err_pc2,background,background_err,ellipticity,q_axis_ratio,area_arcmin2,area_pc2,Sigma_units,R_units,area_model,pc_per_arcmin_assumed,annulus_width_deg,note
0,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,0.012569186183536937,6.918618353693624e-05,22.57863844440677,23,4.795831523312719,0.0,0.025,0.0125,0.0,1.5,0.75,0.0,10.035643198967396,5.017821599483698,3.2538343921009716,0.678471371707692,0.07269215413117658,0.015157361925208848,0.0,0.0,0.0,1.0,7.0685834705770345,316.402784797041,stars_per_arcmin2,pc,circular_annulus_pi_delta_r2,6.690428799311597,0.025,Digitized Niederste-Ostholt et al. 2009 Fig. 7 stellar number-count profile. Digitized x coordinates are treated as noisy measurements of the centers of fixed 0.025 deg annuli. Exact contiguous annulus edges are reconstructed from that published bin spacing. Digitized counts are rounded to integer tracer counts and assigned Poisson sqrt(N) uncertainties. No additional background subtraction is applied at this source-construction stage.
1,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,0.0375887372829532,8.873728295319405e-05,12.579936722285067,13,3.605551275463989,0.025,0.05,0.037500000000000006,1.5,3.0,2.2500000000000004,10.035643198967396,20.07128639793479,15.053464798451097,0.6130412622798932,0.17002705424040945,0.013695623242105734,0.0037984824499114295,0.0,0.0,0.0,1.0,21.205750411731103,949.2083543911231,stars_per_arcmin2,pc,circular_annulus_pi_delta_r2,6.690428799311597,0.025,Digitized Niederste-Ostholt et al. 2009 Fig. 7 stellar number-count profile. Digitized x coordinates are treated as noisy measurements of the centers of fixed 0.025 deg annuli. Exact contiguous annulus edges are reconstructed from that published bin spacing. Digitized counts are rounded to integer tracer counts and assigned Poisson sqrt(N) uncertainties. No additional background subtraction is applied at this source-construction stage.
2,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,0.06296166618837665,0.0004616661883766471,9.565493820902448,10,3.1622776601683795,0.05,0.07500000000000001,0.0625,3.0,4.500000000000001,3.75,20.07128639793479,30.106929596902194,25.089107997418488,0.2829421210522582,0.08947415485242134,0.006321056880971872,0.0019988936963350966,0.0,0.0,0.0,1.0,35.342917352885195,1582.013923985206,stars_per_arcmin2,pc,circular_annulus_pi_delta_r2,6.690428799311597,0.025,Digitized Niederste-Ostholt et al. 2009 Fig. 7 stellar number-count profile. Digitized x coordinates are treated as noisy measurements of the centers of fixed 0.025 deg annuli. Exact contiguous annulus edges are reconstructed from that published bin spacing. Digitized counts are rounded to integer tracer counts and assigned Poisson sqrt(N) uncertainties. No additional background subtraction is applied at this source-construction stage.
3,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,0.08801825379040588,0.0005182537904058759,4.562091454239851,5,2.23606797749979,0.07500000000000001,0.1,0.08750000000000001,4.500000000000001,6.0,5.250000000000001,30.106929596902194,40.14257279586958,35.124751196385894,0.10105075751866376,0.045191272597916034,0.002257520314632814,0.0010095937768211372,0.0,0.0,0.0,1.0,49.480084294039216,2214.819493579286,stars_per_arcmin2,pc,circular_annulus_pi_delta_r2,6.690428799311597,0.025,Digitized Niederste-Ostholt et al. 2009 Fig. 7 stellar number-count profile. Digitized x coordinates are treated as noisy measurements of the centers of fixed 0.025 deg annuli. Exact contiguous annulus edges are reconstructed from that published bin spacing. Digitized counts are rounded to integer tracer counts and assigned Poisson sqrt(N) uncertainties. No additional background subtraction is applied at this source-construction stage.
4,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,0.11361279699791112,0.001112796997911114,4.143461845447288,4,2.0,0.1,0.125,0.1125,6.0,7.5,6.75,40.14257279586958,50.178215994836975,45.16039439535328,0.06287602690050187,0.031438013450250935,0.0014046793068826393,0.0007023396534413197,0.0,0.0,0.0,1.0,63.61725123519331,2847.625063173369,stars_per_arcmin2,pc,circular_annulus_pi_delta_r2,6.690428799311597,0.025,Digitized Niederste-Ostholt et al. 2009 Fig. 7 stellar number-count profile. Digitized x coordinates are treated as noisy measurements of the centers of fixed 0.025 deg annuli. Exact contiguous annulus edges are reconstructed from that published bin spacing. Digitized counts are rounded to integer tracer counts and assigned Poisson sqrt(N) uncertainties. No additional background subtraction is applied at this source-construction stage.
5,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,0.13905514650723774,0.0015551465072377313,3.573178090491706,4,2.0,0.125,0.15000000000000002,0.1375,7.5,9.000000000000002,8.25,50.178215994836975,60.21385919380439,55.19603759432068,0.05144402200950146,0.02572201100475073,0.0011492830692676126,0.0005746415346338063,0.0,0.0,0.0,1.0,77.75441817634747,3480.4306327674553,stars_per_arcmin2,pc,circular_annulus_pi_delta_r2,6.690428799311597,0.025,Digitized Niederste-Ostholt et al. 2009 Fig. 7 stellar number-count profile. Digitized x coordinates are treated as noisy measurements of the centers of fixed 0.025 deg annuli. Exact contiguous annulus edges are reconstructed from that published bin spacing. Digitized counts are rounded to integer tracer counts and assigned Poisson sqrt(N) uncertainties. No additional background subtraction is applied at this source-construction stage.
6,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,0.16485042429821573,0.0023504242982157197,3.3676828844487443,3,1.7320508075688772,0.15000000000000002,0.17500000000000002,0.1625,9.000000000000002,10.500000000000002,9.75,60.21385919380439,70.24950239277179,65.23168079328808,0.03264716781372211,0.018848851125531342,0.0007293527170352162,0.00042109198751446697,0.0,0.0,0.0,1.0,91.89158511750149,4113.236202361535,stars_per_arcmin2,pc,circular_annulus_pi_delta_r2,6.690428799311597,0.025,Digitized Niederste-Ostholt et al. 2009 Fig. 7 stellar number-count profile. Digitized x coordinates are treated as noisy measurements of the centers of fixed 0.025 deg annuli. Exact contiguous annulus edges are reconstructed from that published bin spacing. Digitized counts are rounded to integer tracer counts and assigned Poisson sqrt(N) uncertainties. No additional background subtraction is applied at this source-construction stage.
7,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,0.18729117790812688,-0.00020882209187311762,3.0586553731427264,3,1.7320508075688772,0.17500000000000002,0.2,0.1875,10.500000000000002,12.0,11.25,70.24950239277179,80.28514559173917,75.26732399225547,0.028294212105225872,0.016335670975460525,0.0006321056880971884,0.00036494638917920535,0.0,0.0,0.0,1.0,106.02875205865539,4746.041771955609,stars_per_arcmin2,pc,circular_annulus_pi_delta_r2,6.690428799311597,0.025,Digitized Niederste-Ostholt et al. 2009 Fig. 7 stellar number-count profile. Digitized x coordinates are treated as noisy measurements of the centers of fixed 0.025 deg annuli. Exact contiguous annulus edges are reconstructed from that published bin spacing. Digitized counts are rounded to integer tracer counts and assigned Poisson sqrt(N) uncertainties. No additional background subtraction is applied at this source-construction stage.
8,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,0.21506191587688916,0.0025619158768891426,2.3604258041616304,2,1.4142135623730951,0.2,0.225,0.21250000000000002,12.0,13.5,12.750000000000002,80.28514559173917,90.32078879070656,85.30296719122288,0.01664365417954461,0.011768840734079819,0.0003718268753512868,0.0002629213049883001,0.0,0.0,0.0,1.0,120.16591899980959,5378.847341549697,stars_per_arcmin2,pc,circular_annulus_pi_delta_r2,6.690428799311597,0.025,Digitized Niederste-Ostholt et al. 2009 Fig. 7 stellar number-count profile. Digitized x coordinates are treated as noisy measurements of the centers of fixed 0.025 deg annuli. Exact contiguous annulus edges are reconstructed from that published bin spacing. Digitized counts are rounded to integer tracer counts and assigned Poisson sqrt(N) uncertainties. No additional background subtraction is applied at this source-construction stage.
9,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,0.23792682981781343,0.0004268298178134178,2.241208779755002,2,1.4142135623730951,0.225,0.25,0.23750000000000002,13.5,15.0,14.250000000000002,90.32078879070656,100.35643198967395,95.33861039019027,0.01489169058169781,0.010530015393650364,0.00033268720426167774,0.0002352453781474264,0.0,0.0,0.0,1.0,134.30308594096365,6011.652911143779,stars_per_arcmin2,pc,circular_annulus_pi_delta_r2,6.690428799311597,0.025,Digitized Niederste-Ostholt et al. 2009 Fig. 7 stellar number-count profile. Digitized x coordinates are treated as noisy measurements of the centers of fixed 0.025 deg annuli. Exact contiguous annulus edges are reconstructed from that published bin spacing. Digitized counts are rounded to integer tracer counts and assigned Poisson sqrt(N) uncertainties. No additional background subtraction is applied at this source-construction stage.
